adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
aumento,resistencia,puntudo,['pieza'],trabajador,importante transmitir información,humedo,70 año,aprender,punto,remodelación,ropa,miedo,ruido,equidad,representación país,pelo,panza,animal,artista,sobras,ropa dormir,cerveza,lugar silencioso,líder,disolver sal,cueva,tipico chileno,['ala'],magia,agricultura,arreglo,titanic,inutil,poder ser dulce,verguenza,mínimo,caramelo,ansioso,['brillo'],categoría,ambiente,susto,patrón,monumento,posición,escapar,plan,agradable,escalador,lujo,locura,['parte universo'],arma,pequeño,fuego,activador,vivienda afectado,prueba,separación dos cuerpo,influencia alguien,entrada,ansioso,arrepentimiento,información,viento,geografiar,beber alcohol,tristeza,pena,redondo,objetividad,hacer malo conscientemente,obligatorio,apretón,común,destrucción,forma,control,falso,espirtual,peligro,claro,adulto,dinero,grua,fanguir,['conjunto dios'],gran terreno,manejo área,muerte,crisis,grande cantidad gente,hipotesis,mesa,aceleración,mal servicio,simeter,"['hicistir', 'ahora vién vuelta']",después,metal,alborotir,['terremoto'],['pagar persona realizar'],salud mental,planta,ayuda,hielo,destreza,expulsión aire,persona callado,atento,vinculado música,tarea realizar,posibilidad,murcielago,egoismo,nomadar,aliño,relación
mas grande,parar,abejo,['juego'],seguridad,deber ser eficaz,alentar,arrugado,olvidar,figurar,construcción,vestir,héroe,sonido emitir perro,fruta,identidad,corte,abdomar,ciencia,noche,asesinato,pijamar,alcohol,zona respetar,persona dirigir,baboso,oscuridad,sopar,['pluma'],brujerio,fruta,tejido,blanco,desperdicio,poder ser salado,permitido,parte pequeño generalidad,personalidad,alegría,['característico salir alguien'],identidad,lugar hacer referencia,feo,mente,piedra,legar,crimen,doble cara,físicamente atractivo,animal,joya,ira,['misterio'],pistolla,duro,ejecución,inhibidores,miedo,evidencia,físico,autoridad,puerta,querer saber,perdón,publicidad,sol,extenso,buen,felicidad,tristeza,pequeño,razonamiento,poner licor bebida,autoritario,afecto,inexplicable,terrorismo,forma,autoridad,buscar distraer,ritual,cielo,excelente,protector,lindo,fuerza,verde oscuro,['divinidad'],propiedad,manualidad,disparo,hogar,ciudad,ciencia,lugar estudio,físico,crítica,involutario,['terminar día'],caso emergencia,alambre,mucho gente,['sismo'],['hacer unidad monetario'],ser limpio,plantación,auxilio,dificil romper,agilidad,señal agotamiento,verguenza,baja motricidad fino,banda tocar canción banda,diligencia,certeza,espejo,pecar,persona hogar fijo,uva,lazo
miembro familia mas,continuar,avispa,['inteligencia'],uso casco,deber ser inmediato rápido,oloroso,canoso,hablar,geometer,colocación,conjunto ropa,padre,propio car,justicia,unión causa,cabello,ombligo,investigación,artista,forense,sueño,oscuro,zona meditación,cabeza equipo,ojo antena,roca,carne,['pico'],maldad,verdura,pantalon,mar,proteccion,poder ser comida,esperado,importante,niño,felicidad,['físico'],trascendencia,elemento cercano,sorpresivo,circular,inmovil,nivel,comprometer él,distinto punto visto,acción reprochable socialmente,reacción rápido,viaje,sangre,"['incluir planeta', 'estrella']",disparar,sedimento,usado bruja,interacción,clima,señal,velocidad,poder cambio,tambien poder ser salida,sorpresa,apenar él,propaganda,juntar dos cosa,plano,pensar fríamente,sentimiento,sentimiento tristeza ajeno,ácido,poder decisión,malintencionar,dar autoridad,cara,asociado religión,desaparición,modo,rey,creado grupo opositor,desconocido,lluvia,calidad,cuidador,grande,ingenierio,tenebroso,['creencia cultural'],territorio propietario,detective,narcotráfico,ecosistema,habitado,argumento,lugar compartido estudio,union,restorar,actuar rápido,['devolver prestado'],guardar futuro,rebotar,crisis,['movimiento'],['monto depender tipo trabajo'],limpieza,tierra,urgencia,cambio fase,habil,mostrar cansancio,miedo,bueno actividad manual,concierto persona,responsabilidad,respaldo,ajo,orgullo,persona gustar aventura,ensalado,unión
alguien nuevo,seguir,veneno,['cuadro'],ropa llamativo,poder referir él distinto contexto,respirar,tierna,capacidad,delimitación,reparar,indumentario,dificultad,lobo,pesar objeto,color,peinado,piel,planeta,alcohol,enterrar,colorir,barra,perteneciente religión,responsable decisión,caparazón,profundidad,pollo,['pata'],hacer daño,tierra,ropa,oceano,desprendible,poder ser líquido,cara,demostrar esfuerzo,chocolate,entusiasmo,['superficial'],sociedad,componente software,miedo,radio circulo crecer,hecho arcilla,lugar dentro sociedad,ignorar,distinto forma ser,poder generar compasión,veloz,dinero,calor,"['incluir planeta', 'estrella']",bala,venir piedra arena,usado inquisición,proteína,viento,mapa tesoro,físico,cambio influenciado,acceso,duda,afligir él,advertencia,luz,grande,claridad,agua,llanto,naranjar,determinación,echar él alcohol bebida,peligroso si cumplir,cachete,poco probabilidad,exploción,actitud persona acerca,cabeza,generar incertidumbre,misterioso,frío,enfoque,persona responsable niño,color blanco dorado,control,liana,['sepultura'],porción tierra,huella,chispazo,calir,lugar gente,afirmacion,4 pata,balance,esperado,similar espejo,['pasado'],adquirir previo lanzamiento,enroscado,agitación,['miedo'],['banda'],saludable persona,agua,miedo,temperatura,franco,exhalación,introvertido,objeto caer él,música vivir,cumplir compromiso,disposición,espejo,exceso admiración,alguien mentalidad abierto,acidez,compromiso
nuevo comenzar,soportar,dolor,['habilidad'],uso maquinaria,mejor ranguir corto eficaz amplio eficaz,olor,lent,posibilidad,idea,reconstruir,vestido,atrevimiento,acto aullar,jugar,forma único,estilo,vientre,planta,fiesta,tristeza,ropa dormir,lugar beber,estructura simple grande,experimentado,blar,escondido,verdura,['volar'],permitido,plantación,trabajo,grande,orgánico,pequeño cantidad,expresión esperado,poder llevar imperfección,fruta,exaltación,['atractivo'],organismo,descripción persona cercana,desagradable visto,proporcionar,escultor,gente aspirar tener,procrastinar,fingir,malo,gato,millonario,violencia,['relacionar fisicar'],policia,venir piedra arena,caliente,químico,lluvia,rastro,movimiento,peso,disponibilidad,pensamiento,tristeza,letra grande,unión,vacio,atento,ojo,mal momento,bautizo,experiencia,bruja cuento,orden,rojez cara,relacionado intuición,guerra,mesa,lider,usar situación caos,entidad,nube,limpio,familiar confianza,propio edad medio,manubrio,cocodrilo,['lugar entierro'],campo,investigación,amenazar,mas lindo,concurrido,proposicion,lugar dejar libro,largo,mejorar,cambiar perspectiva,['tiempo atra'],guardar cosa necesidad,duro,tumulto,['dolor'],['mismo'],departamentir salud,abono,pánico,duro,descarado,agotamiento,poco palabra,tropezar él,vinculado tributación,realizar papeleo,bien hecho,estaco,arrogancia,viaje,agrio,nexo
colegio,tolerar,punzante,['estrategia'],obrero,deber ser unifor yo,diente,amable,don,esquina,hacer nuevo,traje,valiente,lobo,juegos,competencia,tijera,comida,célula,queir,funeral,hecho telar,trabajar cantinero,lugar frío,apto mandar,invertebrado,oculto,comida invierno,['cuello largo'],creer,trabajo,abuela,flotar,superficial,termino fino,malo experiencia,importante tener él contar,abuelitir,agitación,['especial'],individuo interés común,poder identificar visualmente,horrible,ir agrandar,escultura,mientras mejor,sacar vuelta,apariencia,confiable,tigre,gran capital,animal,['componer hidrogeno'],ladron,venir grande cantidad,tirar humo,mujer,tormento,pelicular,involuntario,dominio,comenzar,intranquilidad,melancoliar,informativo,cielo,planiciar,,pérdida,desear pasado cambiar,segundo mamá,tiempo,prohibido,orden,pomulo,irracional,miedo,actitud respetuoso,realeza,noticia falso,energía,húmedo,puro,amigo confianza,antiguo,boton,musgo,['monumento'],gran tamaño,delito,defensa,fasinante sorprendentemente perfecto,zona persona,noticia,varios mismo sala,palo bola,enojo,reacción,['volver'],adquirir provisión,rebote,desordir,['estruendo'],"['poder ser diario', 'semanal', 'mensual anual']",departamentir limpieza,naturaleza,desesperación,rocar,libertad,aspiracion largo espiracion cortar,desconfianza,tonto,pago institución,asociado tema burocrático,oportunidad,ataud,engreido,necesidad conocer lugar,aderezo,enlace
sumar,sufrir,amarillo,['proteger rey'],vestido café,deber ser robótico monótono,flor,consentidoro,poder lograr,ángulo,acomodo,usar,guerrero,perro,peso,equipo,entrada,estomago,ciclo,paris,mal olor,grande,curado,concurrido,dar instrucción demá,bizcoso,cavidad,comida casera,['blanco'],necesitar sapo,buen tiempo,mamá,accidente,pelar,galleta,imprudente,llevar,animo,conmoción,['detalle'],conjunto persona,requerir distinto sensor,terror,circulo dentro círculo grande,poder ser homenaje,fama,pagar impuesto,máscara,terrorifico,sigiloso,mayor acceso,atacar,['relacionar mucho ley grande fisico'],dedo,grano cereal,hecho madera rama,periodo menstrual,tormenta,pista,incontrolable,autoridad,paso,chisme,penuria,tiendar,lugar,campo,,llorar,lamentar él,confianza,solidez,maldad,comanda,beso,creible,muerte,manera decir cosa,jefe,buscar desinformación,contemplativo,tenebroso,entendido,pariente,castillo,fierro,agua sucio,['encontrar generalmente cementario'],terreno,análisis,videojuego,equilibro perfecto,lugar vivienda,antecedente,usar estudiante,gravedad,desconformidad,luz reflejado objeto,['memoria'],almacenamiento emergencia,juguete,locura,['daño'],['retribución trabajo'],desinfección,fruto seco,grito,base,relajado,tiempo breve,soledad,acelerado,dinero entregar ciudadano,ir institución,argumento,sangre,soberbiar,persona gran curiosidad,vinagretar,link
agregar,sobrellevar,picadura,['peón'],trabajador,gente llegar,pasta diente,usar bastón silla rueda,especialidad,opción,decoración,moda,amarillo,fuerza,justicia,nacion,maquín cortapelo,gordo,científico,farra,ataud,pijamar,borracho,lugar paz,atento,pequeño,fogata,fuerza,['huevo'],olla grande,naturaleza,tela,vacación,quitar,contener azucar,indebido,parte,guagua,animación,['sobresaliente'],poder ser objeto persona animal,delimitación espacio físico,impacto,mucho curva,figurar,clase,sacar él pillo,adolecente,gesto persona amigable,leon,magnatar,locura,['difícil imaginar'],vida,defecto cutáneo facial,usar calentar cocinar,pastilla anticonceptiva,peligroso,manifestacion,consecuencia,predominar,principio,secreto,quejido,negocio,subir,tierra,,error,tristeza consecuencia,cariño,independencia,hacer daño intencinalmente,ley,parte cuerpo,suceso imposible,fuego,cordialidad,presidente,parecer real,gema,día feo,claro,tutor,rey,maquín,barroso,['varios tumbos'],poder ser ocupado agricultura vivienda,estudio,guerra,tierra,terreno movimiento gente,conjetura,durar año,movimiento,mamá pelear,relaciono agua,['recordar'],cosa utilizable caso necesidad,arma,revuelta,['igual cosa'],['pagar'],salubridad,paciencia,peligro,respaldo,apretado,poder relacionar muerto,sensación inseguridad,cuidado,reconocimiento,necesidad tramitar,correcto,colmillo,superioridad,alguien descubrir diferente cultura,cebolla escabeche,familia
incrementar,fallar,hinchazon,['juegos dos'],hombre,capacidad,lengua,siempre sonreir,entrenar él,punto,restauración,influencer,ropa,grito,gravedad,pai,barba,flaco,microscopio,relajo,muerte,dormir,bar,color blanco dorado,mandar,baboso,oso,pollo,['pajaro'],hallowear,fruto,maquín coser,país,fruta,combate stress,mal ver,complementar,bondad,motor personal,['agradable'],poder ser objeto persona animal,delimitación espacio virtual,amenazar,caracol,obra simbolico,pasado definir,metro,emir,arreglado,animal,suerte,imprevisto,['materia oscuro'],disparar,cantidad pequeño,usar calentar cocinar,sensibilidad,destrozo,inferencia,movimiento circular,alterar,entrar,querer saber,sollozo,señal,elevar,terreno,,amor,pena,especial,adultez,poder confíar,trabajo,abajo ojo,nadie ir creer,caída edificio,forma actuar,cargo máximo,dificil identificar,chakra,clima,bien definido,ahijado,reina,físico,soledad,"['varios famoso', 'ej agripa']",poder ser ocupado agricultura vivienda,asesinato,desconfianza,enorme tamaño,pueblo pequeño,hipótesis,termino usado actualmente,hilo,tiendar,espejo,['hacia atra'],cantidad mineral guardado,,vuelo,['ruido'],['dinero'],sano,planta,terror,irrompible,dilatado,servir expresar emoción,opuesto sociable,imprudente,respetar,firma,concreto,sangre,valor moral,alguien apasionado nuevo experiencia,liquido,pariente
agregar,convicción,abejo,['destreza'],suciedad,interacción,bocar,costar hablar,habilidad,lado,corona flor,ropa,atrevir,peligro,fisicar,patria,peineta,bulto,investigación,carrete,funeral,suave,alcohol,presencia dios,jefe grupo,caparazón,hibernar,agua,['mito'],fantasia,campo,hoyo,barco grande,verdura,dulce,socialmente reprochable,fragmento,sensibilidad,interno,['amoroso'],poder ser objeto persona animal,elemento esperado ambiente,horror,hipnosis,diferente tamaño,poder ganar,impuesto,evolucion,terminado,rápido,malo suerte,sensación,['asocio teoer práctica'],último oportunidad,arena,llama grande,espinilla,natural,reliquia,fisicar,tener efecto,llegar lugar,curioso,lagrima,instrucción,adquirir altura,explanado,,amistad,ausencia,hado,concreto,perversidad,decreto,piel,misticismo,pánico,expresión corporal,líder realeza,plan,allá,gris,borroso,brindar protección,lujo,servir transmitir fuerza,fauna,['sepultura'],sur,,seguridad,redondo,zona habitado,saber,madera metal,metal,mal servicio,agua,['evento termino'],depósito económico,,escandalo,['terror'],['negocio'],evitar enfermedad,base,emergencia,fuerte,desabrochado,tristeza,tímido,lote,ingreso,tiempo,cumplir requerimiento,colmillo,presunción,persona gustar conversar,poder ser manzán venir,guia cosa
amplificar,capacidad,peligro,['inteligencia'],construcción,potencial cliente,mal olor,lentitud,experiencia,distinto visión,mantenimiento,pantalon,común,luna,calculo,genero color,pelo,comida,célula,disfrutar,hueso,sueño,cerveza,lugar conversación personal,persona estrategico,lento,miesterio,amarillo,['cuento'],magia,tierra,ropa,miami,desecho,pizza,deshonesto,necesario objeto,perro,mental,['carisma'],desconocido,rodeoa,miedo,cuaderno,quitar,respetar,tarea,diferente etapa vida,horrible,tigre,aleatorio,incontrolable,['constelación'],peligro,rocar compuesto,fuego,cuerpo humano,destructor,señal,newton,poder,sobrevivencia,secreto,grito,restrictivo,levantar suelo,superficie plano,,tristeza,dolor,magia,edad,diablir,contrato,acné,religion,cohete,movimiento cuerpo,monarquia,falsedad,espiritual,falta visibilidad,foto hd,brindar apoyo,despilfarro recurso,consistir tres punto,parecer lago,['ir héroe'],pasto,,arma fuego,gravedad,lugar residencial,supuesto,madera metal,movimiento constante,libro queja,limpio,['viaje'],depósito petrolífero,,agitacion,['respuesta'],['trabajo'],prevención infección,crecer,pedir ayuda,seguro,espacio,asocia melancolía,miedo,estupidez,impuesto,paciencia,oficial,terror,orgullo,destino,poder ser manzán venir,union
