,acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
145,se genera por consentimiento de dos posturas,estar contento con otra persona,hace sentir invulnerabilidad ,nervioso,del bien,Sensación de haber herido a otra persona ,Aceptar la pérdida de lo que no se escoge ,Descripción de algo o alguien,Sucede cuando no se ven caminos posibles a seguir,Facilidad de alguien para hacer algo ,sentimiento positivo ,mentira,Sensación positiva,Liquido,independencia,No da cabida a la mentira,Deber que tiene una persona ,forma de actuar respecto a alguna cosa ,una opción,Tirarse en parapante lo es.,Relacionado con la racionalidad o razón,como conseguir algo,capacidad de pensar,confianza,incitar algo,Transparencia,lo relacionan con la felicidad
146,cuando dos paises llegan a un,se siente bien por algo que hizo otra persona,Algo que puede dañar ,preocupacion por algo,claro,Carga,Posición frente a algo,Caracteristicas de algo o alguien ,siente que todo esta mal y no hay forma de mejorarlo,Algo que se hace bien,experimentado en momentos de dificultad,justificación,Estado anímico,Lo que obtiene uno de alguna experiencia,seguridad,sinceridad,"Imposición de carácter legal, moral u otro tipo que tiene una persona",connotación negativa,Ocasión conveniente,Dañino,Evocación de algo o alguien en la mente,como llegar a un punto determinado,propio del ser humano,antivirus,ayuda,Sinceridad,Al hacer una actividad se busca eso
147,Decisión mutua entre dos partes,se puede tener el sentimiento o realizar un acto,Da miedo ,querer tener o hacer algo pronto,piedad,Remordimiento,elección personal,Significado de algo o alguien,perdida de esperanza,Talento ,tema presente en la religion,invento,Deseo del ser humano,Ingreso ,estabilidad,se asocia al color blanco,No eres libre de elegir cuando tienes una obligación,se ejerce hacia una persona u objeto,posibilidad de hacer algo,Poco o no seguro,Trabajo mental,se idea para llegar a una meta,inteligencia,sistema que aleja el peligro,aporte,El arma mas poderosa,puede ser laboral o sentimental
148,Complicidad,Responder a una ayuda,Estrés ,querer que pase rapido el tiempo por x motivo,misericordia,Agobio por algo que no se puede cambiar,concretar una acción,descripción de algo,no tener paciencia,habilidad para realizar algo,un niño es una,falsedad,Caracteristico del ser humano,Cuanto saque de un negocio,Capacidad(es) que destacan a una persona del resto,transparencia,Hacer algo sin cuestionar si te gusta o no hacerlo,se trata como un problema que se necesita corregir,decidir relizar una accion,se escapa de ello,"Simbolizar, recordar o imaginar el futuro",se utiliza en empresas,capacidad de argumentar o debatir algo,resguardar algo de robos,una opción,Justicia,se logra un objetivo
149,Se puede firmar para que sea oficial,Gratitud,Te pone en alerta para reaccionar,sudor en las manos,las personas la generan u otorgan,Arrepentimiento,afirmación acerca de algo que se elige,permite conocer conceptos,no tener tranquilidad de animo,requiere de ingenio,toda persona con enfermedad terminal tiene,poca honestidad,Alegría,El corte personal,Caracteristica(s) que destaca(n) a una persona del resto,se busca en las personas,responsabilidad,incapacidad de concentrarse en alguna otra cosa,para conseguir algo necesito una,daño,Buscar información en la mente,forma estructurada de hacer las cosas,existe en un lema chileno,encriptar,elección,Hablar con la tranquilidad,un cantante cuando tiene muchos seguidores
150,"Un ejemplo es el ""prenupcial""",Reconocer la ayuda de los demás,Te puede quitar tu bienestar ,existe antes de una competencia,sentir tristesa por algo o alguien,Reconocer que se hace algo malo ,eleccion,La explicación de lo que es una palabra,no tener control,caracteristica fisica que permite moverse con agilidad,si tengo cancer lo ultimo que pierdo es,falta de mea culpa,Bien estar,Resultado final,La manera en que alguien o algo realiza una acción,contrario al engaño,tienes que hacerlo,fijación por algo o alguien ,mucha gente cree en dar segundas,miedo,Se usa o es útil para decidir,ayuda a definir tareas o actividdes a realizar,habilidad cognitiva unicamente poseida por el ser humano,guardias,posibilidad,Consiencia limpia ,cuando una persona se mentaliza con algo y despues lo logra
151,"Si se viola alguna de sus partes, se considera roto",Mencionar el aporte positivo de alguien,Potencial peligro ,existe antes de algun acontecimiento importante,empatia,sentimiento negativo,es cuando entre un conjunto de cosas seleccionas una,Se encuentran muchas en los diccionarios,una persona se siente asi,se relaciona con agilidad y fuerza,lo ulitmo que se pierde es la,mula,Equilibrio,Logro adquirido,Diferenciación ,contraria a la mentira,deber,es un trastorno compulsivo ,si no te dan una no triunfas,exposición,Analizar ,define metodos y caminos para llegar a un objetivo,característica determinante de la existencia del ser humano,proteccion,oportunidad,No caer en la mentira,hay que recorrer un camino para llegar 
229,pacto ,Ser educado,actitud que anticipa violencia,todas las personas lo demuestran de maneras diferentes,sentirse afectado por las miserias del projimo,dolor,determinacion hacia un objetivo,dicese de la descripción de un objeto o concepto,no controlar los actos ,combinacion entre agilidad y fuerza,sentimiento de que siempre se puede algo mas,alguna explicacion por haber omitido/ relizar un hecho,alegría,Un muy buen resultado,cualidades positivas de una persona,verdad,responsabilidades son de este tipo,fijacion intensa en algo,si la aprovechas puedes lograr un objetivo,factores de riesgo,platon desarrollaba un gran,estrategia,relacionado con el pensamiento,sentimiento de tranquilidad,proposición,Honestidad,Logros
230,unión de pensamientos o acciones ,Gratitud,Actitud usada para crear miedo,es una forma de mostrar que se esta nervioso por algo,voluntad de ayudar al projimo en problemas,consecuencia de hacer algo mal,la eleción de una personta ante una situación,se puede encontrar en diccionarios,no tener esperanza ,para trepar arboles se necesita gran,actitud que empuja a ir mas alla,alguna historia para explicar algo,gozo,Nos llena de felicidad,necesarias para lograr algo,decir lo que pienso,todas las personas tienen,puede llevar a la locura o a la adiccion,te la dan para que cambies algo en tu vida ,puede provocar muerte,nunca puedes dejar de tenerlo en la cabeza,idea o guia de como una situacion se llevara a cabo,se dice de cuando una persona está en lo correcto,ausencia de riesgo,consejo,Lo contrario a mentira,Triunfos
295,se genera mediante un concenso entre  personas,Reconocimiento hacia algo o alguien por sentirme bien,gesto fuerte para amedrentar a otro,puede ser un problema sicológico,esta relacionado con la empatia,responsabilidad de algo,hay buenas y malas,significado de un elemento,no tener paciencia,simbolo de alguien bien preparado fisicamente,Es lo último que se pierde,justificación,se busca esta emoción,Todos lo quieren lograr,te diferencia de otra persona,ser consecuente,dependiento del grado este concepto que tengas es tu importancia ,Si se tiene compulsivamente es un trastorno mental,Encontrar un camino,inseguridad,en grecia era el motor principal de los filosofos,oficiales y militares los ocupan para los rescates,se ocupa la cabeza,Confianza,tip,Es clave en una relación de amistad o de pareja,Cumplimiento de metas personales
296,es importante  para llevar a cabo un proyecto,Sensación de placer,"aviso de que se no se cambia la actitud, acción, etc. sucedera algo",produce ataques,acto que trata de aliviar el sufriemto de otro.,se usa para decir quien hizo algo negativo,se debe evaluar antes de,dar caracateristicas tipicas de ese elemento ,Impotencia,para movimientos bruzcos necesito agilidad y,Lo que nos impulsa,la gente suele entregar muchas ,emoción positiva,Objetivo de muchas personas,hay distintos tipos de esta,no distorcionar la realidad,Algo que uno tiene que cumplir,estar loco por algo,Solucion,situación de vulnerabilidad,las ideas surgen de,una forma de ordenar la vida ,es objetivo,La policia lo brinda,concejo,Pinoccio tenia que decirla para que no le crezca la nariz,Aspiración 
297,se da entre dos o más partes,Felicidad ,gesto que crear miedo en el otro para evitar una accion de el,experimentado en situaciones estresantes ajenas al individuo,se siente por una persona,cuando cometes algun acto negativo te da este sentimiento despues,aceptar hacer algo o no,especificar su uso,Sobreexagerar una situación,habilidad principal para escalar muros,Fe en el buen resultado de algo,pretexto,se ve todo positivo,Odiado por pocos,capacidad de una persona ,no omitir detalles,Se toma como un deber,Nombre de unas galletas en forma de tubo rellenas con chocolate,Posibilidad,estar en una situación de riesgo,nadie puede leerte los,"organizar las actividades de una semana, mes o año","cuando dos personas discute, y uno esta en lo cierto",hay guardias que se dedican a ello,las personas las dan para ayudar a otras en sus decisiones ,cuando dices algo con certeza,triunfo
298,pacto afirmativo,Reconocer las cosas buenas que me pasan en la vida ,fuerza verbal para impedir que el otro haga algo,falta de adaptacion por parte del individuo,sentimiento por alguien cuando esta mal,conciencia de error,cuando optas hacer algo que nada ni nadie te detendrá,decir sus componentes ,No tener alternativas para algo importante,Habilidad para realizar algo,Motivación,la decimos cuando queremos justificarnos por alguna accion que hicimos ante otra persona,contraria a la tristeza,Victoria,ser bueno para realizar una accion,buena persona,"En muchos países, votar es una de ellas",no es bueno,Momento esperado,hay algo que puede ser dañino,de ellos surge la imaginacion,las compañias de telefono te lo ofrece,cuestionar algo,El estado la garantiza,dar motivos para cambiar o ratificar una decision,cuando no mientes,cuando las cosas te salen bien
299,trato,Dar las gracias,los narcotraficantas lo hacen para que sus lacayos no hablen,experimentada por todos en algun momento,se trata de evitar el dolor ajeno,equivocacion ,se refiere a cuando eliges una carrera universitaria al salir del colegio,determinar el objetivo del elemento,No poder cambiar algo,Puede mejorar con entrenamiento,Creer que algo saldrá bien contra todo pronóstico,forma de salir ileso ante una situación que nos desfavorecería.,máxima satisfacción,Ganar,todas las personas son buenas para algo,transparencia ,hacer que alguien haga algo,si uno tiene esto y no consigue lo que quiere es dañino,Constante busqueda,es necesario ponerse a salvo ante él,muchas veces son críticos y analiticos,organización,debatir algo,Sin riesgo,recomendación,cuando hablas con una persona y le revelas algo que tenías oculto,sentimiento positivo
300,pacto,sentimiento positivo,La recibes si haces algo que desagradó a otra persona,Intranquilidad por algo pendiente o no resuelto,entre dos personas ,Lo que uno siente cuando hace algo perjudicial para otro y está arrepentido,elegir algo por sobre otro,Es aquello que nos da el significado de una palabra u concepto.,Perder la calma,habilidad,añoranza ,mentira,estado de extasis maximo,Utilidad,todos poseen capacidades diferentes ,forma de ser,ir al colegio,preocupación extrema por algo,Una solucion esperando ser tomada,lo siento cuando hay un ladron cerca,habilidad principal del hombre,una forma de ordenar,Coherencia,Percepción del peligro,es una forma de aconsejar a alguien para que lleve a cabo algo,lo que buscan los creyentes y cinetificos sobre la creación del universo,cuando logras algo
301,se hacen para llegar a un punto comun,sentir gratitud hacia alguien o algo,Puede ser física o verbal,Se asocia con pensamientos repetitivos sobre algo ,sentir tristeza por otra persona o cosa,Sentimiento de angustia al perjudicar a otro ,estudiar es una buena,Es aquello de lo que está lleno en los diccionarios.,Contrario a relajado,capacidad para realizar algo,situación esperada a futuro,es lo que utilizamos para evadir algo,sentimiento positivo,Recibir más dinero que lo que se invirtió,capacidad de realizar algo,concepto diametralmente contrario a la mentira,cuando debes hacer algo si o si,causa preocupación en quien la posee,Se toman o se dejan,sentimiento que alerta de que algo malo pasara,el hombre es un ser,hay actividades,Esta en el lema patrio de Chile,Paz,Recomendación,cuando alguien algo y esta en lo cierto,satisfacción
402,entendimiento,si me regalan un notebook estaré,"Si la recibimos, vivimos más alerta",movimientos repetitivos y rápidos (mover el pie y el lápiz),Empatía,sentimiento negativo,para hacer un gol es necesario tomar una buena,Tiene que ver con lo que es una palabra o concepto.,Incapacidad de reaccionar bien frente a un problema ,se relaciona con habilidades,deseo de que algo suceda,intento de justificacion de una accion,Contento,Saldo positivo,destreza en una disciplina,Ser transparente con otra persona,deber,no permite apartar el pensamiento de algo o alguien,Siempre se aparecen para distintas situaciones,cuando alguien maneja mal es un ,el yoga intenta alejarte de cualquiera de ellos,se puede comprar ,El que gana una discusión la tiene,proteger,Consejo,es lo que uno siempre tiene que decir,goce
403,los paises lo hacen en materia de relaciones,siempre que alguien hace algo por mi estoy,situación peligrosa,Angustia intolerable de la que uno no se hace cargo ,Colocarse en el lugar del otro,cuando haces algo que sabes que fue incorrecto y te quedas pensando en eso,al momento de elegir es importante,significado de una palabra,Incapacidad de actuar correctamente,"puede ser motora, escrita, artística",similar a fe,mentira o verdad que sirve para evadir una situacion,Como se está cuando Chile gana en futbol,Ganar,que le es facil realizar algo,Contar la verdad,cuando tienes responsabilidades,Adicción,Hay gente que las deja pasar,manejo mas alcholo es un,Ideas,Estrategia,La gente loca la pierde,acoger,Para que una persona tome una buena desición se le da una,es un valor,triunfo
404,las personas los hacen para los negocios,gracias,peligro relativo,Poca tolerancia ,Contrario a la venganza,cuando una mujer esta dieta y come chocolate después siente esto,elección,forma en que das a entender a otros lo que quiere decir un concepto,Cólera,es individual ,nombre de mujer relacionado a un deseo futuro,frase con la cual  busca ser perdonado,Lo contrario a tristeza,Dinero,te hace esoecial o característico,No distorsionar la realidad,tareas,Cuando algo es deseado,Pueden traer tanto buenas como malas consecuencias,isic lo es para la humanidad,Imaginación,Ponerse de acuerdo,logica,Sensación de tranquilidad ,Se dice en forma de opinión,la gente que lo dice es de confianza,llegada a la meta
405,es parte de las relaciones basicas entre los seres humanos,si ayudo a otro este me,situación de riesgo,sentimiento de querer que todo pase ahora,Perdonar,cuando pasa algo malo y fue tu responsabilidad lo sientes,opción,características que te ayudan a comprender mejor una palabra,Alteración del ánimo,nos permite desarrollar habilidades,en los conflictos es lo último que se pierde,frase que se emite con tal de no verse perjudicado,Alegría,Plata,característica positiva que te destaca por sobre los demás en un área,Asumir el presente,deberes,Es constante,Es un tipo de costo en economía,premonicion de guerra genera,Nos permite planificar,Organización,uso del cerebro,no peligroso,Apoyo,hay que decirla en un juicio,termino de un objetivo
406,cuando no hay entendimiento son necesarios,en general uno tiene que ser de esta forma con quien te atiende,situación extraña de riesgo,querer alcanzar el futuro,Ser benevolo,cuando pasa algo y se busca quien lo cometió,elegir lo que es mejor,concepto ,Pérdida de esperanza,Es una virtud,matiene la fe en las personas,se puede interpretar como una disculpa,Hay un producto en el Mc'Donalds que hace referencia a este concepto,Factible,virtudes,Evitar la mentira,reuniones importantes,Suele provocar malos resultados,"Se habla de esto, cuando se tiene una elección que podría generar beneficio",sale en carteles cerca de hoyos,se da en las personas,Elaborar un procedimiento,es el uso de la logica,no dañino,Se transmite como una opción mas a considerar,juez,pasar todos los ramos
426,Trato,actitud hacie quien te ayuda en general,peligro de la integridad de la persona,espera larga te pone,Levantar a un enemigo del suelo,Sentimiento negativo ante una mala accion ,enfrentarse a diferentes alternativas,concreto,fobia,Se relaciona con ser bueno para algo,deseo interiorizado,una justificación,Como se sienten los padres cuando tienen un hijo,lo contrario a pérdida,como tener capacidades para el desarrollo de artes manuales,Frente en alto,reglas,Dificíl controlar,Se dice que la gente con mayor estrato social tiene mas de esto que lo menos afortunados,Amenaza,se relaciona a la razón,establecer pasos,División,estabilidad,consejo,a veces es dificil decirla,hace algo bien
427,Terminos aprovados,actitud hacia alguien que me trata de forma amable,cuando alguien se enoja lo dice,cuando quieres que algo pase rapido,se siente por otras personas,Sentimiento al reconocer la equivocación y no comentarlo,se selecciona en base a razonamientos,no es abstracta,no saber que hacer,Habilidad,Tener fe en algo,"algunos dirían ""chamullo"" para librarse de algo",Sonrisa,Lo que se recibe cuando un proyecto es bueno,capacidad,Verdad,es de carácter ,"Genera placer, lo que desencadena en esto",chance,La vida corre un riesgo,es interiorizado,Receta,Cuando uno la tiene es porque dijo algo correcto,confort,advertencia,credibilidad,llegar a una meta
428,Aprovacion ,respuesta a una amabilidad,advertencia agresiva,querer todo ahora,solidaridad,Cuando una persona tiene conocimiento de su error y sabe que está afectando a otro ente.,tener distintas oportunidades,todas las palabras tienen una,se busaca escapar de esa situación,Una habilidad que puede ser tanto fisica como mental,Creer que algo benevolo podria suceder,defensa propia para evitar sanción,Risas,Rinde,ser bueno para algo,Hechos,se te fuerza a hacer algo,Obstinación,tener la posibilidad de realizar algo,situación amenzante,es individual,Antes de ejecutar,capacidad de organizar pensamientos críticamente.,protección,guía para lograr algo,no mentir,ganar 
429,Punto de vista frente a algo,forma de compensar una buena accion hacia ti,consecuencias,querer anticipar el futuro,entiendes el lugar del otro,es un sentimiento,actuar por voluntad propia,te permite entender,sentimiento negativo,Existe un juego de mesa con este nombre,Esperar que algo resulte como uno quiere,argumento a favor de uno,Dicha,Lo que uno obtiene al restar ingresos con costos,algo propio que tiene cada persona,una virtud muy positiva,cuando debes hacer algo,deseo descontrolado por conseguir algo,que te permitan hacer algo que quieres,situación de riesgo,sirve para analizar situaciones,Mapa previo a realizar algo,Los animales no la tienen,uno se siente bien,recomendación,honestidad,sortear un obstaculo 
430,Ok,Expresión de gratitud hacia algo o alguien,terror,la gente muchas veces come por,lo sientes cuando la persona pasa por algo negativo,cuando uno come demaciado lo siente,alternativa,te da conocimiento,tratar de tener que describir esto,La necesitan los deportistas,Fe,presentar certificado,estar pleno,Algo positivo que uno se puede llevar de una experiencia,abarca distintos ambitos,sinceridad,se puede evadir,aspiración,cuando hiciste algo mal pero te dejan intentarlo denuevo,se asocia al miedo ,sirve para resolver problemas,Analizar todo antes de hacer,Nos permite tomar desiciones correctas y no actuar por instinto,guardias,crítica,no se crear falsos testimonios,se les desea a las personas para que les valla bien
431,Confirmacion ,Lo decimos cuando hacen algo por nosotros,miedo,Sensación de inseguridad,el sentimiento es positivo,delitos,se toma cuando uno debe elegir entre cosas,estan estipuladas,estado en donde la paciencia se acaba,habilidad,Creer en algo,quitar responsabilidad,sentirse bien con uno mismo y el entorno,cuando ganas algo que esta fuera de tus entradas de dinero típicas,una capacidad,se relaciona con la integridad,es algo que debemos hacer ,es una ambición,cuando es posible lograr algo,el opuesto de seguridad,Profundidad,Esquema o mapa de algo ,estar en lo cierto respecto a algo,escudos,observación,real ,se les dice a las personas que tienen una vida llena de logros
432,Ractificar una idea,Mientras más lo sintamos más felices somos,intento de evitar que alguien haga algo,Nerviosismo,permite que personas ayuden a otras,pecados,elegir,real academia española,cuando ya no aguantas mas,ser bueno para algo,Asumir algo por hecho,pedir perdón,aceptar todo lo que te rodea,entrada de dinero extraordinaria,pueden ser blandas,hace falta en las personas poderosas de este mundo,los adultos tienen mas que los niños,tener meta ,contrario a cuando no te dejan intentarlo denuevo,pone en riesgo la integridad ,Idea,Revisar con anticipación una situación ,propio de una persona que se encuentra en lo correcto,alarmas,una ayuda para mejorar algo,es aquello que es innegable,lograr un objetivo 
433,Trato,gratitud,persecucuion ,Comerse las uñas,caridad,hacer algo sabiendo que esta mal ,es un acto,aveces cuesta entenderla,descontrol,cualidad positiva,Dar un salto a ciegas,perdonar,aprender a valorar cada cosa,tener un margen positivo en utilidades,son intrinsicas,no decir mentiras,tarea,una sensación de deseo,algo que aprovechas si es que te la dan,es negativo,Filosofia,Pasos a seguir frente a una situación,su sustrato biológico es el cerebro,los criminales la violan,pauta para actuar bien,que es certero,forma de medida del logro
434,Tratado,situación positiva que se genera hacia otra persona,juego mental,Sudoración excesiva,"Ponerse en el sentimiento del otro, como el otro lo siente",castigo,no siempre son faciles,hay mas de 1.000.000 en el mundo ,no saber que hacer,contrario a hacer una actividad mal,Se puede sentir,acción para justificar una falta ,sentirse alegre,contrario a perdida,las puedes desarrollar,cualidad de una persona que dice la verdad,algo que si o si se hace,querer lograrla a toda costa,evento del que puedes sacar una ganancia ,amenza inminente,Cada uno lo expresa de una distinta forma,Conjunto de instrucciones que dicen quá hacer ,verdadero según lo concebido como cierto por el ser humano,confianza,manual,concebido como real ,buenos resultados
589,Pacto,se puede demostrar mediante un regalo,Algo peligroso,Incomodidad,Empatía,juicio,Se toma cuando uno debe decidir entre diferentes camino,Significado de una palabra,se da cuando una situacion te sobrepasa,característica que una persona puede mostrar realizando cierta operación,Todos lo hemos experimentado,argumentación,sentirse contento,cuando se vende algo a un precio mayor que el del costo original,las matematicas ,cualidad positiva de una persona,no poder no hacer algo,especie de irracionalidad en la búsqueda de alguien o algo,ventana ofrecida por el azar ,puedes sufrir,Amplio ,acuerdo de algo,el por qué de una acción o acontecimiento,ISO9000,ayudar,afirmación que te lleva a creer en algo real,lograr el cien por ciento
590,A lo que se llega cuando 2 estados firman un convenio,se relaciona a la alegría,Un riesgo hacia uno mismo,Impaciencia,Acompañar al otro en el sentimiento de dolor,es abstracto,decidir,Acotamiento,una madre lo siente cuando pierde a su hijo por ejemplo,habilidad,Sentimiento,"al no cumplir con algo , se utiliza ",no juzgarse a uno mismo y a los demás,beneficio,la labia ,tiene la verdad por delante,se refiere a cuando si o sí tienes que hacer algo ,persecución de algo ,posibilidad,te conviene evitarlo,Constructivo,necesita de una planificación previa,mente,resguardo,Se da cuando uno quiere ayudar a alguien sin realizarle la tarea,es lo que te hace ser una persona auténtica,estar satisfecho
591,Cuando crees que tu interlocutor dice algo correcto,Dar las gracias,peligro,Anticipación de algún suceso desagrable,Hacer algo por el dolor ajeno para aliviarlo,depende del juicio ,Medida que tomamos frente a un hecho ,Explicación de una palabra,es una emocion muy fuerte,maestría,es el inverso de la media,sirve como una vía de escape fácil al no cumplir con algo ,cuando te pasa alguna situación que añorabas mucho y tienes un sentimiento muy positivo al respecto,puede ser material o de conocimientos,especie de don,decir la verdad,es como te sientes cuando tienes que hacer algo que no quieres,puede desencadenar en una enfermedad mental,es una chance para algo ,si lo ignoras puedes salir perjudicado,Nunca deja de ejecutarse,estrategia,tener la verdad,tus padres te brindan una gran,Se da cuando uno quiere guiar a alguien por el camino correcto,es lo contrario a falsedad,tener lo que uno quiere
592,Chile tiene varios de estos con los países que lo limitan,Cuando alguien le hace un favor a otro este le hace saber al otro que lo ayudó,auxilio,situación que provoca agitación,Contener a otro ,es variable,elegir algo,Caracteristica de una palabra,Contra la espada y la pared,dicese de una persona que tiene buenas cualidades en un tema,se utiliza en la estadística,puede ser una mentira ,calma,éxito,facilitadora de objetivos,confiable,"es como tener que hacer una tarea del colegio, o de la universidad",se actúa en desacuerdo a la razón,es cuando hay un momento exacto para llevar a cabo algo ,generalmente esta señalado,No pertenece al plano fisico,estrategia para conseguir algo,justificación,razon por la cual no guardo el dinero debajo del colchon,Es un tipo de ayuda,concepto irrefutable,realización
593,Cuando se llega a términos aceptables con otra persona respecto a un tema,gratitud,que esta pasando,preocupación excesiva hacia el futuro,Uno se conmueve por el dolor o la angustia de otro ,lo que sentimos cuando hacemos algo malo a alguien,atreverse ,Todas las palabras tiene una,Nerviosismo,la tiene una persona con buenas habilidades,es una emocion,es un tipo de mentira,familia,dinero,Destresa,buena persona,"cuando tus padres salen, y tienes que si o sí cuidar a tu hermano",puede estar relacionada en torno a una persona ,opcion,es real,Imposible de expresar en su totalidad,suceso de pasos para lograr objetivo,algo que se cree que es cierto,los ladrones la alteran,Es un tipo de acto por alguien mas que necesita una guia,no se puede discutir a eso,Triunfo
