adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
,soportir,hiriente,['juego'],cañeria,trascendencia,['olor'],viejo,capacidad,esquina,['flor'],vestimento,['eficaz'],emitir lobo perro,matemática,simbolismo,afeitador,hinchado,cientifico,playa,funeral,camisa grande,ir beber,simbolir,jefe,insecto andar lento,oscuro,caldo carne,pajaro,hechacer,fruto,moda,barco,envoltorio fruta,exquisitez,vergüenza,depender punto visto,merenge,sentimiento,['atracción persona'],cosa,vida,susto,forma,arte,poder,torniquete,diferente habilidad,repeler,ágil,azar,éxtasis,espacio,disparar,arena,fuego,inyeccion,['aire'],descubrimiento,actuar,arbitrario,entrar,emocion,arrepentimiento,preciso,territorio español,amplio,claridad,sufrimiento,['ver inferioridad'],familia,crecimiento,sacar provecho,proclamado alguien ranguir alto,['belleza'],bueno,['submarino'],empatir,encargado grupo gente,teatro,contemplativo,vision,claridad,designado padre,['estructura'],auto,agua,lugar griego,territorio,habilidad,defensa,conjunto roca,poder referir él pueblo ciudad,deducción,mesa estudio,colgante,poder ser escrito u oral,imagen,recuerdo,guardar,['cable'],['alborota'],repetición,gano trabajar,salubridad,['vida'],pedir ayuda,cambio,flexibilidad,sufrimiento,timorato,tonto,canción,['latero'],comúnmente aceptado,ataud,querer mucho cosa,atrevir,pasado,unión
,amistad,atravesar,['anticipación'],mano obra,distancia,['asociado respiración'],arrugado,habilidad,cruce,['pack flor'],ropa,['rápido'],emitir luna,masa,equipo,cortador,comida,doctor,artista,cuerpo,ropa,lugar reunión amigo,dios,lider,frágil,piedra,comida abuela,beber,magia,epoca año,estilo,ir vacación,biodegradable,poder ser comida,desfachatez,cualidad,dulce ligua,felicidad,['característico agradable'],colectivo,coexistir,sorpresa,line curir,creacion,escalón encima,esquivar,cara,causa repugnancia,cazador,dinero,jolgorio descontrolado,universo,activador,materia extremadamente pequeño,sacrificio,problema salud,['devastador'],rastro,impulso,dominio,registrar él,inter,perdon,título,equipo fútbol,viejo oeste,luz,dolor,['victimización'],tia,conocimiento,aprovechar él,tener poder gente,['margarita'],increíble,['militar'],civismo,mas alto ranguir,música,sagrado,clima,diáfano,boda,"['lugar vivir', 'rey', 'reina']",switch,lilipads,monumento,campo,instinto,personal,encontrar universo,poder referir él pueblo ciudad,hipótesis,mesa cuaderno,peso,queja,mundo,distanciamiento,seguridad,['alambre'],['noticia provocar'],copia,pagar trabajo,salud,['color'],necesitar alguien,firmeza,poder desarmar,melancolía,precavido,inepto,actuación,['obligación'],relativamente indiscutido,nocturno,ser materialista,curioso,vencido,enlace
,perseverancia,clavar,['guerra'],esfuerzo,vision,['vida'],fragil,disposicion,encuentro,['floral'],traje,['hábil'],escucha noche,símbolo derecho,representación,nabaja,estómago,planta,convencional,disfunción organo,pijamar,carretear,religion,deporte,bonito,tierra,hacer vacuno principalmente,pluma,hacer brujo,economía,confección,visita distinto país,protección,poder ser visualmente bello,decir hacer desubicar,fragmento,manjar,tristeza,['simpatico'],conjunto,rodeado,malo sensación,gira,expresion,nivel alto,evitar,personalidad,ser horrible propio,ataque,suerte,cumbre emocional,planeta,activo dedo,diminutir,prender noche,mujer,"['ee', 'uu']",señal,fuerza,autoridad,buscar alguno entrada,curiosidad,tristeza,anuncio,punto cardinal,espacio plano,suelto,vidrio,['tristeza'],pariente,aumento,intención ser malo,ser jefe,['cara'],millón,['poder'],agradable,presidente,actuación,espiritu,frio,característico claramente visible,bautizo,['construido gente importante'],brazo mecanico,bosque,edificio antiguo,naturaleza,practicar,policía,existir diferente categoría,conjunto persona,supuesto,mesa alumno,gravedad,demandar tiendar,espasmo,origen,preparación,['espiral'],['común'],imitación,deseado abundancia,mantener él limpio,['flor'],peligro,fuerza,fácilmente modificable,nostalgia,emocion,acción aturdida,restaurante,['pedido'],análisis,terror,ser posesivo,apasionado,mal,relación
,constancia,abejo,['intención'],construccion,acercar él,['fuerza vital'],debil,inter,punto,['flor'],fashion,['estrategia'],lamento perro,ciencia,identidad,pelo,comer,ser vivo,estructura,resto mortal,camisa grande,famoso lejano oeste,fe,lider,caparazón,naturaleza,come invierno,pico,harry potter saber,exportación,unir cosa,titanic,poder ser debil huevir,gustar común,acto inmoral,parte constituir,rico,fugaz,['amoroso'],parte conjunto,parte mundo,agradable,atractivo,referir alguien,fama,eludir,rol,nivel intensidad feo,nocturno,aleatorio,disfrutar exagerar,estrella,disparar poderoso,insignificante,festividad,ciclo,['desastrar natural'],prueba,reaccion,peso,monetario,misterioso,disculpa,publicidad,subir,superficie,ligero,cristal,['mover ayudar alguien'],hado,mejora,cometer crimen,tener grupo cargo,['piel'],destino,['defensa'],educación,jefe monarquia,engaño,magia,oscuridad,visible simple visto,hombre honor,['poder ser vivienda definitivo'],activo,cocodrilo,lugar histórico,pasto,destreza,militar,mover través universo,concentración gente,hipotesis,mesa pequeño,impulso,exigir,respuesta involuntario,hogar,plan,['estirar'],['suceso llamar atención'],repetición sismo,fuente riqueza,cuidar él mismo,['tierra'],problema,liquido,carecer rigidez,tristeza,miedo,error,acto,['cosa hacer'],cumplir condición preestablecida,chupar sangre,ambicioso,viaje,añejo,emocional
,determinación,filoso,['engaño'],casco,medir,['aire'],feo,modo actuar,parte,['trabajo maestro'],asociado expresión corporal,['persuación'],expresar dolor físico emocional,simbolizar justicia,nacion,afeitadorar,malo alimentación,estudio,libertad,término vida material,comodo,poder beber barra,espiritualidad,jefe,,rocoso,alimentar,ala,hacer conseguir amor,trabajo,arreglar ropa,cruzar mar,contener,postre soler ser él,pudor,acercamiento,intenso,positiva negativa,['atento'],compañía,contexto,pánico,helice,simbolir,posicion,escapar,personaje,horrible,carnívoro,dinero,despliegue emocional disfrutar,hoyo negro,provocar cambio abrupto,arena,bruja,anticonceptivo,['campo'],evidencia,inconcientemente,influencia,sueldo,tramar,sentimiento,cartel,levantar,terreno plano,libre,ojo,['compasión'],magia,experiencia,maldad,ejercer líder,['beso'],bendición,['peligro'],comportamiento,dictador,mentira,sabidurio,precaución,obvio,brazo derecho,['construido alto estandar'],acciona,apestoso,imperio romano,árbol,experiencia,puntería,poder girar alrededor sol,lugar vivir,creencia,mesa escolar,oscilante,calidad,luz reflectado,volver,organizar,['recobra posición natural'],['hecho'],contestación,dinero,lavar él mano,['agua'],auxilio,gas,nivel maleabilidad,pena,opacar él,cometer estupidez,regalo dios,['tarea'],acordado,drácular,gusto dinero poder,continente,venir venir,jurídico
,ser incansable,aguja,['sacrificio'],obrero,desplazar él,['olor'],pelo gris,estilo,parte problema,['globo'],causa impresión demá,['osadir'],bramido,medición científico,identidad,espuma,redondez,genetico,atadura físico emocional,muerte,regalo util,bar moe,creencia,autoridad,,oscuro,poder hacer gallín,pata larga,parte fantasía,trabajador,usar hilo,buque pasajero,poder quebrar,buen chef cocinar,hombre,análisis profundo,agradable,positiva negativa,['gracia'],sociedad,habitat,terror,presente naturaleza,recordar,calidad,saltar metro,modo,malo palabra,gato,suerte,licencioso,energía,activo pasividad actividad,reloj arena,religion,pastilla,['aire rotación'],pista,atraccion,poder,dinero,sospechoso,emocion,pancarta,transportar,igualdad,vision,tristeza,['empatir'],ceniciento,fruta,dañar,gobierno,['cariño'],hecho precedente,['gobierno'],acción,organización politico,armar,antiguo,ceguez,asociado belleza fealdad,protector,['templo'],eje,estancado,estructura,animal,conocimiento,campeonato,hogar,lugar rústico,presupuesto,persona espana,frecuencia,pedir,reaccion frente estimulo muscular,retornar,pensar antelación,['deformacion'],['producto'],respuesta,platar,desinfectar él,['origen planta'],ayuda,agua congelado,bailar,cansancio,falta personalidad,inexperiencia,forma mostrar aprecio dios,['realizar asunto legal'],correcto,chupasangre,gusto dinero poder,avión,agrio,hipervínculo
,resistencia,corte,['jugar requerir paciencia'],edificio,lograr,['sabor'],abuela,forma expresar él,line,['maquina'],vestimento,['valor'],grito agudo,peso,patriotismo,hisopo,anchura,doctorado,aventura,vida,dormir,cerveza,cristianismo,cabeza,,cerrado,poder aliñar ají,crotorear,libro fantasía,verdura,usar aguja,aventura vida,fruta,causar extremo ternura,respetar,importante arte realista,dulce,enojo,['simpatir'],empresa,ambiente,susto,simbolir,representación,puesto,desvincular,avatar,deber usar él,tigre,regalo,felicidad hiperquinéticar,estudiar astronomíar,encender apagado,desierto,ritual,doctor,['choque aire frio caliente'],sintoma,mantención movimiento,persuación,ahorro,suspenso,pena,afiche,aumentar,superficie perfecto,visto,lagrimal,['malestar'],regalo,seriedad,mala intención,cargo,['rojo'],hecho explicación,['bomba'],aprendizaje,poder concentrado,construir,milenario,auto,hd,favorecedor,['hogar'],torcar,tipo geografía tierra acuós,edificio,terreno delimitar,criminal,entrenamiento,tierra,poco tecnología,supuesto,colegio,periodo,solicitar,agua,venir,prevenir desastrar,['comprimir'],['culpante'],argumento,sueldo,desinfectar cosa,['inicio vida'],asistencia,hielo,desplante,molestia,tranquilo,ignoranciar,forma mostrar aprecio ser querido,['proceso formal realizar'],confirmar,succionador,egoista,bus,desinfectante,conexión
,enfrentar cambio,elemento punzante,['jugador estratega'],cemento,cuantificar,['bocanada'],sabio,capacidad,punto visto,['floral'],traje,['atrever él'],sonido agudo,comparación,nacionalismo,delantal,propio mamífero,laboratorio,noche,miedo,sexy,amigo,iglesia,oficial,,densar,comida casera,cazar pez,juegos carta,arado,actividad manual,descanzo,poder ser duro maní,regocijo,persona caer mal,producto atención,sabroso,amor,['adjetivo'],organización,dominio,miedo,logo,historia,reconocer,multa,distinto cara,persona lindo,puma,tener cosa,asesinar,año luz,jalar,espinilla,campamento,insulín,['naturaleza origina'],dislumbrar,característico físico cuerpo,motivación,pago,desconocido,dolor,marketing,mejorar,ciudad plano,mirada,gota,['ayudar'],religion,cambio,malevo él,puesto importante,['chachete'],imposible,['proyectil autopropulsado'],conducta,monopolista,hacer obra teatro montar escenografia,chantar,nube ras suelo,4k,,['belleza'],servir levantar cosa,estancar agua,cementerio,propiedad privado,ley,arma,agua,vivienda,hipotesis,educacion basico medio,fisicar,hablar encargado,mismo,llegar,tener conciencia,['tension'],['consecuencia'],terremoto,fin mes,duchar él,['comida'],grito,duro,discoteque,paciencia,temor,agil,impuesto dictado,['paso seguir llegar objetivo'],popularmente aceptado,batmar,ego,tren,acir acético,asociación
,permanecer fuerte,penetración,['cada movimiento deber ser pensado metódicamente'],trabajador,limitar,['vapor'],lento,habilidad,distinto area asunto,['vestimento'],prenda,['valentir'],emisión agudo,gordura,simbolir,clasico,gordura,experimento,bar malo muerte,final,camisa,noche,religión,alguien cargo,,presentar peligro,chile,poner huevo,pelicular miedo,latinoaméricar,trabajo,oceano,dejar ver interior,turco,mentira,selección estímulo minucioso,comida,ira,"['interacción', 'os']",academia,ambito,terrible,mandalar,admiracion,nombramiento,ley,geminis,concepción,rapidez,ganar cosa,halo,vía láctear,pistola,tipo rocar,iglesia,examen,['peligroso ser vivo'],entender,permitir cuerpo permanecer reposo,manipulación,saldo,regalo,perdido,empresa,grúa,cerro,ojo,vela,['comprender'],simil  madre,color,pecar,trabajo grupo,['mofletir'],niño sobrevivir caída 4 piso,['arma destrucción masivo'],forma ser,persona,compra maquín montar él funcionar,entrega conocimiento,dificultar visibilidad,buen definicion,,['grandeza'],mover cosa,cumulo agua sucio,antiguedad,agua,criminal,objeto pequeño capaz herir matar,vida,ciudad pequeño,indicio,educacion,regulador,quejar él,cristal,girar,cautela,['fuerza'],['revolar'],copia,importante,cuidar cuerpo,['objeto pequeño crecer tiempo'],solicitud ayuda,firmeza,facilidad persona,comunicación verbal,nervio,astuto,dinero,['diligencia'],aprobado,murcielago,creido,soñador,fermentacion,relación
,resiliencia,clavar,['juego antiguo'],palar,arma,['gas'],amable,poder hacer él,borde,['matrimonial'],conjunto,['decisión'],transmisión sonoro chirriante,flaco,objeto telar,barba,guato,científico,humo,término,ropa,calle,edificio,poder,,cueva,papa,ave,fictisio,trigo,poder usar maquín,playa,,narnia,mentiroso,relieve,ternura,miedo,['embelezar'],figurar,habitacion,feo,resor tú,adulación,clasismo,responsabilidad,persona falso,sociedad,velocidad,ganar dinero,violento,desconocido,arma,geologia,humo,químico corporal,['tubo aire gigante arrasar paso'],investigar,ley newton,decisión,dinero,sorpresa,pena,comida rapido,ascensor,plano,brillo,poder evitar,['pena'],asumir responsabilidad paternal,edad,portar él mal,liderazgo,['delatar'],revivar muerte,['gran cantidad humano ser vivo morir'],cultura,rey,armar,secreto vida,usualmente blanco,flaitir,,['vivienda reyes'],,laguna,civilizacion antiguo,casa,habilidad natural,objeto pequeño capaz herir matar,parte universo,localidad,proposicion,carpeta,suspendido,producto incorrecto,espejo,voltear,sigilo,['balancear'],['agitado'],doble,trabajo,cuidar entorno,['planatar'],rescatista,consistencia,extrovertido,aire,falta confianza,poco habilidad,ofrendir,['papeleo'],demostrable,rabio,petulante,persona viajar constantemente año,mantener cosa,unir
