acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad ,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
,,,,,,,,,,,,['sentir él pleno'],,,['ser transparente'],,,,,,['mapa ruta objetivo especifico'],,dar gracias devolver favor,,,
,,,,,,,,,,,,['ànimo'],,,['decir verdad pesar consecuencia'],,,,,,['modelo organización'],,sentir él protegido,,,
,,,,,,,,,,,,['dar cosa buena'],,,['virtud persona transparente'],,,,,,['acción sistematizar futuro'],,bulnerable,,,
,,,,,,,,,,,,['alegrìa'],,,['decir solo realmente cierto'],,,,,,['suseso acción conun fin'],,confiar,,,
,,,,,,,,,,,,['contento'],,,['decir verdad'],,,,,,['idea conseguir proposito'],,sentir él bien,,,
,,,,,,,,,,,,['contrario tristeza'],,,['actuar consinceridad'],,,,,,"['diseñar estrategia seguir', 'realizar particular']",,pasado llevar,,,
,,,,,,,,,,,,['emociòn'],,,['ser transparente'],,,,,,['tomar decision varios pesona individulmente llevar cabo hecho'],,protecciòn,,,
,,,,,,,,,,,,['feliz'],,,['ocultar idea u opinión aunquesear disrutiva'],,,,,,,,resguardo,,,
,,,,,,,,,,,,,,,['decir verdad'],,,,,,,,dar padre hijo,,,
,,,,,,,,,,,,,,,['mentir'],,,,,,,,brindar carabinero,,,
,,,,,,,,,,,,,,,['oculptar'],,,,,,,,labor guardia,,,
,,,,,,,,,,,,,,,['verdad'],,,,,,,,,,,
,,,,,,,,,,,,,,,['forma sincerar él'],,,,,,,,,,,
,,,,,,,,,,,,,,,['transparencia'],,,,,,,,,,,
,,,,,,,,,,,,,,,['expresión'],,,,,,,,,,,
