['decisión mutuo dos parte'],bien hacer persona,['poder dañar'],preocupacion,contrario venganza,claro,carga,posición frente,['caracteristica alguien'],mal forma mejorar él,['hacer bien'],experimentado momento dificultad,['justificación'],anímico,obtener alguno experiencia,seguridad,sinceridad,"['imposición carácter legal', 'moral u tipo persona']",connotación negativo,ocasión conveniente,dañino,['evocación alguien mente'],['forma estructurado hacer cosa'],,['propio ser humano'],['antiviru'],ayuda,sinceridad,hacer actividad buscar
['complicidad'],poder tener sentimiento realizar acto,['dar miedo'],querer tener hacer pronto,perdonar,piedad,remordimiento,elección personal,['significar alguien'],perdido esperanza,['talento'],tema presente religion,['invento'],desear ser humano,ingreso,estabilidad,asocia color blanco,['libre elegir'],ejercer hacia persona u objeto,posibilidad hacer,seguro,['trabajo mental'],['ayuda definir tarea actividd realizar'],,['inteligencia'],['sistema alejar peligro'],apor tú,arma mas poderoso,poder ser laboral sentimental
['poder firmar oficial'],responder ayuda,['estrés'],querer pase rapir tiempo x motivo,ser benevolo,misericordia,agobio poder cambiar,concretar acción,['descripción'],tener paciencia,['habilidad realizar'],niño,['falsedad'],caracteristico ser humano,cuanto saque negocio,capacidad destacar persona resto,transparencia,['hacer cuestionar si gustar hacer él'],tratar problema necesitar corregir,decidir relizar accion,escapa él,"['simbolizar', 'recordar imaginar futuro']",['definir metodo camino llegar objetivo'],,['capacidad argumentar debatir'],['resguardar robo'],opción,justicia,lograr objetivo
['ejemplo prenupcial'],gratitud,['poner alerta reaccionar'],sudor mano,levantar enemigo suelo,persona generar u otorgar,arrepentimiento,afirmación acerca elegir,['permitir conocer concepto'],tener tranquilidad animo,['requerir ingenio'],todo persona enfermedad terminal,['poco honestidad'],alegría,corte personal,caracteristica destacar persona resto,buscar persona,['responsabilidad'],incapacidad concentrar él alguno cosa,conseguir necesitar,daño,['buscar información mente'],['estrategia'],,['existir lema chileno'],['encriptar'],elección,hablar tranquilidad,cantante seguidor
"['si viola alguno parte', 'considerar roto']",reconocer ayuda demá,['poder quitar bienestar'],existir competencia,persona,sentir tristesa alguien,reconocer hacer malo,eleccion,,tener control,['caracteristico fisicar permitir mover él agilidad'],si cancer ultimo pierdo,['falta mea culpa'],bien,resultado final,manera alguien realizar acción,contrario engaño,['hacer él'],fijación alguien,mucho gente creer dar segundo,miedo,['usar útil decidir'],['idea guia situacion llevar cabo'],,['habilidad cognitivo unicamente poseido ser humano'],['guardia'],posibilidad,consiencia limpio,persona mentaliza despu lograr
['pacto'],mencionar apor tú positivo alguien,['potencial peligro'],existir algun acontecimiento importante,solidaridad,empatiar,sentimiento negativo,conjunto cosa selecciona,,persona asi,['relacionar agilidad fuerza'],ulitmo perder,['mula'],equilibrio,lograr adquirido,diferenciación,contrario mentira,['deber'],trastorno compulsivo,si dar triunfa,exposición,['analizar'],['oficial militar ocupar rescate'],,['característico determinante existencia ser humano'],['proteccion'],oportunidad,caer mentira,recorrer camino llegar
['unión pensamiento acción'],ser educar,['actitud anticipar violencia'],todo persona demostrar manera diferente,entiend lugar,,dolor,determinacion hacia objetivo,,controlar acto,['combinacion agilidad fuerza'],sentimiento siempre poder mas,"['alguno explicacion haber omitir', 'relizar hecho']",alegría,buen resultado,,verdad,['responsabilidad tipo'],fijacion intenso,si aprovecha poder lograr objetivo,factor riesgo,['platon desarrollar gran'],['forma ordenar vida'],,['relacionado pensamiento'],['sentimiento tranquilidad'],,honestidad,logro
['generar mediante concenso persona'],gratitud,['actitud usado crear miedo'],forma mostrar nervioso,sient persona pasar negativo,,consecuencia hacer mal,,,tener esperanza,['trepar arbol necesitar gran'],actitud empuja ir mas allar,['alguno historia explicar'],gozo,lleno felicidad,,decir pensar,['todo persona'],poder llevar locura adiccion,dar cambi vida,poder provocar muerte,['nunca poder dejar tener él cabeza'],"['organizar actividad semana', 'mes año']",,['decir persona correcto'],['ausencia riesgo'],,contrario mentira,triunfo
['importante llevar cabo proyecto'],reconocimiento hacia alguien sentir yo bien,['gesto fuerte amedrentar'],poder ser problema sicológico,sentimiento positivo,,responsabilidad,,,tener paciencia,['simbolir alguien bien preparado fisicamente'],último perder,,buscar emoción,querer lograr,,ser consecuente,['dependiento grado concepto importancia'],si compulsivamente trastorno mental,encontrar camino,inseguridad,['grecia motor principal filosofo'],['compañia telefono ofrecer'],,['ocupar cabeza'],['confianza'],,clave relación amistad pareja,cumplimiento meta personal
['dar dos parte'],sensación placer,"['aviso cambiar actitud', 'acción', 'etc', 'sucedero']",producir ataque,permitir persona ayudar,,usar decir hacer negativo,,,impotencia,['movimiento bruzco necesitar agilidad'],impulsar,,emoción positivo,objetivo mucho persona,,distorcionar realidad,['cumplir'],loco,solucion,situación vulnerabilidad,['idea surgir'],['organización'],,['objetivo'],['policia brindar'],,pinoccio tenia decir él crecer nariz,aspiración
['pacto afirmativo'],felicidad,['gesto crear miedo evitar accion'],experimentado situación estresant ajeno individuo,caridad,,comet algun acto negativo dar sentimiento despu,,,sobreexagerar situación,['habilidad principal escalar muro'],fe buen resultado,,ver positivo,odiado poco,,omitir detalle,['tomar deber'],nombre uno galleta forma tubo rellena chocolate,posibilidad,situación riesgo,['nadie poder leerte'],['forma ordenar'],,"['dos persona discutir', 'cierto']",['guardia dedicar él'],,,triunfo
['trato'],reconocer cosa buena pasar vida,['fuerza verbal impedir hacer'],falta adaptacion parte individuo,poner él sentimiento,,conciencia error,,,tener alternativa importante,['habilidad realizar'],motivación,,contrario tristeza,victoria,,buen persona,"['país', 'votar']",bueno,momento esperado,poder ser dañino,['surgir imaginacion'],['actividad'],,['cuestionar'],['garantizar'],,,cosa salir bien
['pacto'],dar gracias,['narcotraficanta hacer lacayo hablar'],experimentado algun momento,empatir,,equivocacion,,,poder cambiar,['poder mejorar entrenamiento'],creer salir bien pronóstico,,máximo satisfacción,ganar,,transparencia,,si conseguir querer dañino,constante busqueda,necesario poner él salvo,['mucho vez crítico analitico'],['poder comprar'],,['debatir'],['riesgo'],,,sentimiento positivo
['hacer llegar punto comun'],sentimiento positivo,['recib si hacer desagradar persona'],intranquilidad pendiente resolver,acompañar sentimiento dolor,,hacer perjudicial arrepentir,,,perder calma,['habilidad'],añoranza,,extasis maximo,utilidad,,forma ser,,,solucion esperar ser tomado,sentir ladron cerca,['habilidad principal hombre'],['estrategia'],,['coherencia'],['percepción peligro'],,,logra
['entendimiento'],sentir gratitud hacia alguien,['poder ser físico verbal'],asocia pensamiento repetitivo,hacer dolor ajeno aliviar él,,,,,contrario relajado,['capacidad realizar'],situación esperado futuro,,sentimiento positivo,recibir dinero invertir,,concepto diametralmente contrario mentira,,,tomar dejar,sentimiento alerta malo pasar,['hombre ser'],['poner él acuerdo'],,['lema patrio chile'],['paz'],,,satisfacción
['país hacer materia relación'],si regalar notebook,"['si recibir', 'vivir alerta']",movimiento repetitivo rápido mover pie lápiz,contener,,,,,incapacidad reaccionar bien frente problema,['relacionar habilidad'],desear suceda,,contento,saldo positivo,,ser transparente persona,,,siempre aparecer distinto situación,alguien manejar mal,['yogo intentar alejarte cualquiera'],['organización'],,['ganar discusión'],['proteger'],,,gocir
['persona hacer negocio'],siempre alguien hacer,['situación peligroso'],angustiar intolerable hacer cargo,conmueve dolor angustiar,,,,,incapacidad actuar correctamente,"['poder ser motoro', 'escrito', 'artístico']",similar fe,,chile ganar futbol,ganar,,contar verdad,,,gente dejar pasar,manejo mas alcholir,['idea'],['elaborar procedimiento'],,['gente locar perder'],['acoger'],,,triunfo
['parte relación basica ser humano'],gracias,['peligro relativo'],poco tolerancia,sentir sensibilidad alguien,,,,,cólera,['individual'],nombre mujer relacionado desear futuro,,contrario tristeza,dinero,,distorsionar realidad,,,poder traer buena mala consecuencia,isic humanidad,['imaginación'],['establecer paso'],,,['sensación tranquilidad'],,,llegada meta
['entendimiento necesario'],si ayudar,['situación riesgo'],sentimiento querer pase ahora,apiadar él alguien,,,,,alteración ánimo,['permitir desarrollar habilidad'],conflicto último perder,,alegría,platar,,asumir presente,,,,premonicion guerra generar,['permitir planificar'],['receta'],,,['peligroso'],,,termino objetivo
['trato'],general ser forma atender,['situación extraño riesgo'],querer alcanzar futuro,sentimiento positivo,,,,,pérdida esperanza,['virtud'],matienir fe persona,,producto mcdonalds hacer referencia concepto,factible,,evitar mentira,,,,salir cartel cerca hoyo,['dar persona'],['ejecutar'],,,['dañino'],,,pasar ramo
['termino aprovado'],actitud hacie ayuda general,['peligro integridad persona'],esperar largo poner,compadecer él,,,,,fobiar,['relacionar ser bueno'],desear interiorizado,,sentir padre hijo,contrario pérdida,,frente alto,,,,amenazar,['relacionar razón'],['mapa previo realizar'],,,['estabilidad'],,,hacer bien
['aprovacion'],actitud hacia alguien tratar forma amable,['alguien enojo decir'],querer pase rapir,apiadar él alguien,,,,,saber hacer,['habilidad'],tener fe,,sonrisa,recibir proyecto bueno,,verdad,,,,vida correr riesgo,['interiorizado'],['analizar hacer'],,,['confort'],,,llegar meta
['punto visto frente'],respuesta amabilidad,['advertencia agresivo'],querer ahora,pena,,,,,busaco escapar situación,,creer benevolo podrio suceder,,risa,rendir,,hecho,,,,situación amenzante,['individual'],['esquema mapa'],,,['protección'],,,ganar
['ok'],forma compensar buen accion hacia,['consecuencia'],querer anticipar futuro,poner él lugar,,,,,sentimiento negativo,,esperar resulte querer,,dicho,obtener restar ingreso costo,,,,,,situación riesgo,['servir analizar situación'],['revisar anticipación situación'],,,['bien'],,,sortear obstaculo
['confirmacion'],expresión gratitud hacia alguien,['terror'],gente mucho vez come,empatiar,,,,,tratar tener describir,,fe,,,positivo poder llevar experiencia,,,,,,asocia miedo,['servir resolver problema'],['paso seguir frente situación'],,,['guardia'],,,
['ractificar idea'],decir hacer,['miedo'],sensación inseguridad,sentimiento,,,,,paciencia acabar,,creer,,,,,,,,,opuesto seguridad,['profundidad'],['conjunto instrucción decir quá hacer'],,,['escudo'],,,
['trato'],mientras sintamos feliz,['intento evitar alguien hacer'],nerviosismo,pasar mucho vez rabio sentimiento,,,,,aguanta mas,,asumir hecho,,,,,,,,,poner riesgo integridad,['idea'],['acuerdo'],,,['alarma'],,,
['tratado'],gratitud,['persecucuion'],comer él uña,gente mucho vez gente pobre,,,,,descontrol,,dar salto ciega,,,,,,,,,negativo,['filosofia'],['necesitar planificación previo'],,,['criminal violar'],,,
['pacto'],situación positivo generar hacia persona,['juego mental'],sudoración excesivo,mayorio persona alguno vez,,,,,saber hacer,,poder sentir,,,,,,,,,amenza inminente,['cada expresar distinto forma'],['estrategia'],,,['confianza'],,,
['llegar 2 firmar convenio'],poder demostrar mediante regalo,['peligroso'],incomodidad,acogimiento,,,,,dar situacion sobrepasar,,experimentado,,,,,,,,,poder sufrir,['amplio'],['estrategia conseguir'],,,['iso9000'],,,
['crees interlocutor decir correcto'],relacionar alegría,['riesgo hacia mismo'],impaciencia,tristeza,,,,,madre perder hijo ejemplo,,sentimiento,,,,,,,,,convenir evitar él,['constructivo'],['suceso paso lograr objetivo'],,,['resguardo'],,,
['chile varios país limitar'],dar gracias,,anticipación alguno suceso desagrable,,,,,,emocion fuerte,,,,,,,,,,,si ignora poder salir perjudicado,['nunca dejar ejecutar él'],['camino alcanzar'],,,['padre brindar gran'],,,
,alguien hacer favor hacer saber ayudar,,situación provocar agitación,,,,,,espada pared,,,,,,,,,,,generalmente señalado,['pertenecer plano fisico'],['claro elegir'],,,['razon guardar dinero debajo colchon'],,,
,gratitud,,preocupación excesivo hacia futuro,,,,,,nerviosismo,,,,,,,,,,,real,['imposible expresar totalidad'],['pago alfinal mes entel'],,,['ladrón alteran'],,,
,das obsequio devolución favor,,tipo enfermedad,,,,,,angustiar,,,,,,,,,,,tener cuidado si encuentra situacion,['él ocupar solamente cerebro'],['esquema'],,,['mucho casa poner reja cercado dar mas'],,,
,,,preocupación interno hacia desconocido,,,,,,intranquilidad,,,,,,,,,,,accidente poner cinta seguridad palabra,['tipo corriente'],['paso seguir'],,,['persona mas timida ser mas'],,,
,,,,,,,,,negar él encontrar paz,,,,,,,,,,,cuidado,['mil cada día'],['guía'],,,['sentimiento desproteccion'],,,
,,,,,,,,,peor error frente problema,,,,,,,,,,,cartel palabra avisar malo poder suceder,"['personal', 'nadie poder saber él menos exprés']",['organización acción seguir'],,,['proteccion'],,,
,,,,,,,,,correr tiempo,,,,,,,,,,,,['dar lugar idea'],['situación estructurado futuro'],,,['sensación protección'],,,
,,,,,,,,,mental nervioso,,,,,,,,,,,,,['relacionar organización'],,,['confianza'],,,
,,,,,,,,,evitar calma,,,,,,,,,,,,,['estructura'],,,['autoafirmación'],,,
,,,,,,,,,,,,,,,,,,,,,,['poder armar solo persona'],,,['despreocupación'],,,
,,,,,,,,,,,,,,,,,,,,,,['estudio deber elaborar organizar él'],,,"['madre', 'provocar sentimiento']",,,
,,,,,,,,,,,,,,,,,,,,,,['trabajo utilizar aumentar producción'],,,['resguardo'],,,
,,,,,,,,,,,,,,,,,,,,,,['acción futuro interiorizado'],,,['propósito institución policial'],,,
,,,,,,,,,,,,,,,,,,,,,,['organización'],,,['familia entrega hijo'],,,
,,,,,,,,,,,,,,,,,,,,,,['meta camino definido'],,,['dar creer hacer bien'],,,
,,,,,,,,,,,,,,,,,,,,,,['usar organizar'],,,['agresivo'],,,
,,,,,,,,,,,,,,,,,,,,,,['paso'],,,['constructivo general'],,,
,,,,,,,,,,,,,,,,,,,,,,['estrategia'],,,['peticion'],,,
,,,,,,,,,,,,,,,,,,,,,,['modus operandi'],,,['servir ver punto visto distinto'],,,
,,,,,,,,,,,,,,,,,,,,,,['forma actuar pensado'],,,['general dar'],,,
,,,,,,,,,,,,,,,,,,,,,,['organización'],,,['creer decir correcto'],,,
,,,,,,,,,,,,,,,,,,,,,,['efectuan partido'],,,['guardia'],,,
,,,,,,,,,,,,,,,,,,,,,,['idear forma lograr'],,,['preservativo'],,,
,,,,,,,,,,,,,,,,,,,,,,['necesario querer alcanzar objetivo'],,,['tener dispositivo electronico contraseño'],,,
,,,,,,,,,,,,,,,,,,,,,,['especifico distinto tarea'],,,['guadaespalda'],,,
,,,,,,,,,,,,,,,,,,,,,,['poder compartir él situación mismo contexto'],,,['anticonceptivo'],,,
,,,,,,,,,,,,,,,,,,,,,,,,,['barrio marginal'],,,
,,,,,,,,,,,,,,,,,,,,,,,,,"['presidente ee', 'uu nadie']",,,
